"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76986990784422","5.61485982807162","3.82233511678332","5.30031405765243","6.28797536126895","3.37583749127457","3.25948642303557","3.70423775271973","6.59295050184228","2.19006066092493","1.03610080269524","5.62905761024799","4.43468813342022","3.04904620110997","2.80990970893053","5.06749722968669","3.48434619543613","5.16689296887391","4.26244900176589","1.70328044813839","-1.22340655068425","4.00567421402882","0.184032701346126","-1.99594849465619","3.95889741019282","6.831286936157","-1.00279969703662","-3.17816679833555","3.4620285989059","6.01781789080067","-0.951473805261571","-4.91262490390014","3.15727939363973","6.70946117676064","",
"Africa Eastern and Southern","AFE","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.7745360319214","6.12552202910163","11.655238221181","11.2714320572149","10.9127735503048","7.19975129292388","22.5277562007029","2.09628875042125","-2.16340442746143","3.81463031545211","16.5933467401627","7.30175646760432","4.82278547876986","0.56694454253261","2.44756300147404","-2.19752646733461","2.40365618765746","2.07134857783487","6.52147984832531","6.9629462552564","2.83899625081041","9.40623933931322","2.92366213121669","",
"Africa Western and Central","AFW","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0074398272592","106.309982268478","476.51575086326","917.783468411763","2175.97895508759","1825.49514900731","4800.53164415744","95.4530221791129","39.3593483252693","557.501113091215","418.018991534099","106.352125501451","142.4782","93.9265669067308","33.4435947900255","42.3742492617284","17.1156651448542","4.30843221207182","19.3657735558326","-16.7621402901592","32.2704691224412","31.7714601558986","7.25574990943825","2.83972412637765","3.56088477205805","-3.51838534598478","21.7742355863884","22.6145140271114","28.1670932554891","19.1870038271785","10.7631052824799","38.8237218374918","13.7105940226231","17.6001393484509","25.239212746942",
"Albania","ALB","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.431368812605996","35.5142469536257","232.984658847733","125.650814248279","35.8424752083152","9.83890127786853","16.9344096030553","12.7559380021331","7.85515459177739","2.78507709416616","5.91957346525058","3.76594531101591","3.90388141100428","4.93749255224851","3.09536654638973","3.14370505375079","2.68476832531357","5.14956776072877","3.49863912505761","2.57034008938903","4.12744389120799","1.69479180198789","0.226739790649205","0.352563785277709","1.44342053888136","0.771576290611591","-0.864265221201691","2.72506918540461","1.45328722509015","1.00063285556122","0.0410440719196288","3.44439110040804","9.86158300344633","6.0660520944985","2.68887445578932",
"Andorra","AND","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.32624369631456","6.93514835426407","6.71076896051142","4.53723214675858","3.87985832158631","4.93312104936552","0.797177729321263","2.22816030666122","1.49955384331271","2.73197952535102","28.7415528975991","3.08053517916559","3.23953176987777","3.17748421556476","3.04242399802695","3.39610212995052","3.45718408670396","3.21122734131436","2.27433831984322","0.132136132405464","0.374313758110119","0.196764152031051","0.174556905779482","0.448492200194735","-0.0840193165570753","0.660588959137868","0.347795381575793","1.13650934319639","1.01247848005298","1.37475350829189","1.11378607410401","2.5588606935971","4.23665226454663","6.29560082401824","3.14365541697994",
"Arab World","ARB","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33590049400134","0.810848722776853","1.80682612323693","1.27803631115864","-0.262474925014473","3.90747975797208","5.77304389866605","-0.952300713494253","-4.25444531455858","8.44337746020058","11.4595357939894","-2.34930767820795","3.77083954826043","4.07240679733007","8.50142205885294","16.5263069327845","11.9621492865846","12.5339606714946","18.5333530849246","-15.1829798865339","16.5278863640702","13.1672193726198","4.67972512554906","-0.949325324877421","-0.668049355690627","-16.2670060257069","-5.52947861264578","4.9862131440172","7.93674803319826","-3.19440940446903","-12.0313053012111","13.8437703409675","12.6298936874128","-1.30420015855995","0.676474110227019",
"Argentina","ARG","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2078.31681806978","140.502378661012","16.0719935356945","-3.56109557576575","2.84933971509302","3.16512339016516","-0.0523754965904146","-0.46391313116429","-1.70527962400085","-1.83655839220664","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","26.5799916024707","41.1193799882279","26.0063792819079","42.0336689575031","49.1955790596612","40.0830878011993","53.8020877665554","69.8760842459268","135.368876310592","207.9218609534",
